text,sentiment,cleaned_text,label
Azizkhan,2,azizkhan,1
top friend,2,top friend,1
good,2,good,1
Bekar app hai 😁,2,bekar app hai,1
Good,2,good,1
Nice,2,nice,1
I'm very interested ☺️,2,im very interested,1
Arshad Gaming333,2,arshad gaming333,1
Very nice 👍,2,very nice,1
बहुत ही अच्छा है,2,बहत ह अचछ ह,1
Hour,2,hour,1
good,2,good,1
Happy,2,happy,1
Excellent,2,excellent,1
verygood,2,verygood,1
very good that's why I give it 5 stars,2,very good thats why i give it 5 stars,1
good entertainment,2,good entertainment,1
So good,2,so good,1
Public Review,2,public review,1
খুব ভালো,2,খব ভল,1
"Here is a suggested response for you in English: Subject: Appreciation and Limitations Dear Facebook Team, I am Zahid Roman, and I would like to express my sincere gratitude to your team for your support and efforts. I am extremely happy to be a part of this platform and to experience the positive influence it brings to my work and interactions. However, I would like to mention that there are certain limitations that I believe need to be addressed. It is important that these issues are",2,here is a suggested response for you in english subject appreciation and limitations dear facebook team i am zahid roman and i would like to express my sincere gratitude to your team for your support and efforts i am extremely happy to be a part of this platform and to experience the positive influence it brings to my work and interactions however i would like to mention that there are certain limitations that i believe need to be addressed it is important that these issues are,1
ভেরি গুড,2,ভর গড,1
Approved,2,approved,1
nice app👍,2,nice app,1
Super amazing,2,super amazing,1
Beta Facebook,2,beta facebook,1
"👍👍good service installation, on time , fastest installation, internet working properly without issues, no extra charges , Best promotion price for internet in town, fastest speed works exellent on entire home, all devices at once , WIFI RADIUS STRONG...nice! recommended! 👍👍😍 thanks Frontier team!",2,good service installation on time fastest installation internet working properly without issues no extra charges best promotion price for internet in town fastest speed works exellent on entire home all devices at once wifi radius strongnice recommended thanks frontier team,1
Good,2,good,1
good 👍,2,good,1
awesome,2,awesome,1
kub valo,2,kub valo,1
روعه,2,روعه,1
Goot,2,goot,1
citizenship some company,2,citizenship some company,1
আই লাভ ইউ ফেসবুক,2,আই লভ ইউ ফসবক,1
"💔💗❤️‍🔥💓💘 अब न कोई हमें मोहब्बत का यकीन दिलाये, हमें रूह में भी बसा कर निकाला है किसी ने। 💔💗❤️‍🔥💓💘💔💗❤️‍🔥💓💘 तुम्हारा क्या बिगाड़ा था जो तुमने तोड़ डाला है, ये टुकड़े मैं नहीं लूँगा मुझे तुम दिल बना कर दो। 💔💗❤️‍🔥💓💘💔💗❤️‍🔥💓💘 वो शख्स फिर से मुझे तोड़ गया आज, जिसे कभी हम पूरी दुनिया कहा करते थे। 💔💗❤️‍🔥💓💘💞💓💑💘💟 इश्तेहार दे दो कि ये दिल खाली है, वो जो आया था किरायेदार निकला। 💞💓💑💘💟🌟💝 खड़े-खड़े साहिल पर हमने शाम कर दी, अपना दिल और दुनिया आप के",2,अब न कई हम महबबत क यकन दलय हम रह म भ बस कर नकल ह कस न तमहर कय बगड ़ थ ज तमन तड डल ह य टकड ़ म नह लग मझ तम दल बन कर द व शखस फर स मझ तड ़ गय आज जस कभ हम पर दनय कह करत थ इशतहर द द क य दल खल ह व ज आय थ करयदर नकल खड ़ खड ़ सहल पर हमन शम कर द अपन दल और दनय आप क,1
when join some groups .there are many posts on my Facebook .,2,when join some groups there are many posts on my facebook,1
I have to go,2,i have to go,1
nice,2,nice,1
Good application,2,good application,1
this app is most popular,2,this app is most popular,1
always say thanks to all,2,always say thanks to all,1
sangat bagus dari google😘,2,sangat bagus dari google,1
good,2,good,1
Loving it.,2,loving it,1
nice,2,nice,1
Bless me with 3 BTC,2,bless me with 3 btc,1
Nice,2,nice,1
good app,2,good app,1
great app,2,great app,1
zuou look so gorgeous,2,zuou look so gorgeous,1
awesome,2,awesome,1
very good,2,very good,1
Nice,2,nice,1
best app ever👌🙌,2,best app ever,1
Jannat,2,jannat,1
wonderful app 👌👌,2,wonderful app,1
Nice,2,nice,1
super,2,super,1
nice app,2,nice app,1
best social media apps,2,best social media apps,1
Titular Das,2,titular das,1
good 😘😍😍😍😍,2,good,1
Lajawab,2,lajawab,1
Super,2,super,1
Super👌❤️‍🩹,2,super,1
G.SURESHKUMAR,2,gsureshkumar,1
Very good,2,very good,1
facebook or die jk love this app,2,facebook or die jk love this app,1
This is my man Ryan,2,this is my man ryan,1
जय श्रीराम श्री गुरु चरण सरोज राज निज मन मुकुर सुधार,2,जय शररम शर गर चरण सरज रज नज मन मकर सधर,1
Nice 👍 ni would,2,nice ni would,1
nice,2,nice,1
good,2,good,1
Nice,2,nice,1
Nice but problems on messenger,2,nice but problems on messenger,1
"I use this app daily, but the whole outlook of the app on cell phones have been the same for 7+ years the app definitely could use a cool new look on mobile devices",2,i use this app daily but the whole outlook of the app on cell phones have been the same for 7 years the app definitely could use a cool new look on mobile devices,1
Nice,2,nice,1
Great app,2,great app,1
5 stars for sure.,2,5 stars for sure,1
I think everyone is welcome with all my heart 🫶,2,i think everyone is welcome with all my heart,1
good,2,good,1
great 👍,2,great,1
Help me please,2,help me please,1
Very good,2,very good,1
Bella cheats.,2,bella cheats,1
Supar,2,supar,1
This is a good app,2,this is a good app,1
Good for business promotions,2,good for business promotions,1
Godd,2,godd,1
Perfect,2,perfect,1
good,2,good,1
very satisfied😊,2,very satisfied,1
Good,2,good,1
Anas ja ja jab,2,anas ja ja jab,1
good,2,good,1
please vairal ID public,2,please vairal id public,1
love this casino #modogiveaway,2,love this casino modogiveaway,1
Great,2,great,1
Success,2,success,1
Good,2,good,1
Nookar Mula HUSSAIN,2,nookar mula hussain,1
nice,2,nice,1
my husband and I love the food.,2,my husband and i love the food,1
Good,2,good,1
good,2,good,1
best of luck,2,best of luck,1
very good,2,very good,1
Good,2,good,1
Good aap nice I'm happy,2,good aap nice im happy,1
awesome,2,awesome,1
Excellent,2,excellent,1
Have,2,have,1
love it 😍,2,love it,1
Nice,2,nice,1
This has been the best app I have ever visited,2,this has been the best app i have ever visited,1
Active,2,active,1
Good,2,good,1
about Shooter solutely,2,about shooter solutely,1
it's so nice Facebook I like it I rate this 9/10 kasi hindi ako palagi nag gagamit nga Facebook Facebook-lite palagi ginagamit ko Pero sakin worth-it ang Facebook kaya I download nyo na goooo🫰😊💪🏆,2,its so nice facebook i like it i rate this 910 kasi hindi ako palagi nag gagamit nga facebook facebooklite palagi ginagamit ko pero sakin worthit ang facebook kaya i download nyo na goooo,1
Thanks fb founder and their staff.Bcoz we knew from fb about our environment and around the world.we can meet our old friend.,2,thanks fb founder and their staffbcoz we knew from fb about our environment and around the worldwe can meet our old friend,1
সাপোর্ট করবেন,2,সপরট করবন,1
neat!,2,neat,1
Absolute bias towards israel,2,absolute bias towards israel,1
good,2,good,1
K d badmash01 instagram par search karna tik hai Aur follow jarur karna Aur share jarur karna Comment jarur karna tik bhai sab,2,k d badmash01 instagram par search karna tik hai aur follow jarur karna aur share jarur karna comment jarur karna tik bhai sab,1
Lo más importante y clave es apoyarnos como sociedad para hechar hacia adelante y ser mejores personas cada día. Ya que en la elaboración y colaboración en conjunto existe el éxito de una sociedad.,2,lo más importante y clave es apoyarnos como sociedad para hechar hacia adelante y ser mejores personas cada día ya que en la elaboración y colaboración en conjunto existe el éxito de una sociedad,1
not bad,2,not bad,1
ganda,2,ganda,1
very goodnes,2,very goodnes,1
good,2,good,1
"Tandoori, Chicken Tikka,Lamb Cutlets ,Seek kebab",2,tandoori chicken tikkalamb cutlets seek kebab,1
Nice app,2,nice app,1
why my Facebook is not working well,2,why my facebook is not working well,1
Good......,2,good,1
Good app...,2,good app,1
Good,2,good,1
Nice,2,nice,1
"AWW d ,0t, Droh",2,aww d 0 t droh,1
Very nice,2,very nice,1
Updated Facebook,2,updated facebook,1
nice,2,nice,1
It is very helpful for everyone 🙄👍,2,it is very helpful for everyone,1
nice,2,nice,1
Facebook is a good platform because it is the voice of public,2,facebook is a good platform because it is the voice of public,1
I like Facebook app very much,2,i like facebook app very much,1
good,2,good,1
Krishna Rathod r,2,krishna rathod r,1
Nice,2,nice,1
love it mwaaah,2,love it mwaaah,1
Delete all history kaisa karna please option,2,delete all history kaisa karna please option,1
Good app,2,good app,1
Love my Facebook,2,love my facebook,1
Plz why u hide my post which i shared in groups i request to open my all post,2,plz why u hide my post which i shared in groups i request to open my all post,1
"i am about 12 years old user of facebook. I shall mark it 5, its best wide networked app.",2,i am about 12 years old user of facebook i shall mark it 5 its best wide networked app,1
good,2,good,1
(Optional) Tell others what you think,2,optional tell others what you think,1
nice,2,nice,1
good,2,good,1
good,2,good,1
good.,2,good,1
Good,2,good,1
Old version is going,2,old version is going,1
Nice,2,nice,1
Nice 👍,2,nice,1
Shankarkumar,2,shankarkumar,1
good app,2,good app,1
find,2,find,1
Great,2,great,1
